OBJECTID,FIREID,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5,VALUE_6,VALUE_7,VALUE_8
23,20304,0.000000000000000,0.000000000000000,6879600.000000000000000,900.000000000000000,0.000000000000000,0.000000000000000,900.000000000000000,127800.000000000000000
24,20322,0.000000000000000,0.000000000000000,4372200.000000000000000,0.000000000000000,0.000000000000000,5205600.000000000000000,2700.000000000000000,0.000000000000000
25,20331,45490500.000000000000000,40341600.000000000000000,30437100.000000000000000,568800.000000000000000,2618100.000000000000000,91555200.000000000000000,620100.000000000000000,14153400.000000000000000
26,20332,0.000000000000000,6300.000000000000000,2543400.000000000000000,0.000000000000000,2700.000000000000000,639000.000000000000000,17100.000000000000000,0.000000000000000
27,20333,0.000000000000000,0.000000000000000,6445800.000000000000000,0.000000000000000,86400.000000000000000,58500.000000000000000,900.000000000000000,108900.000000000000000
28,20335,28457100.000000000000000,13690800.000000000000000,27682200.000000000000000,540000.000000000000000,6847200.000000000000000,69139800.000000000000000,363600.000000000000000,1782900.000000000000000
29,20336,622800.000000000000000,14175000.000000000000000,10996200.000000000000000,13500.000000000000000,5400.000000000000000,43578000.000000000000000,56700.000000000000000,800100.000000000000000
30,20337,513000.000000000000000,58552200.000000000000000,29523600.000000000000000,2002500.000000000000000,3644100.000000000000000,106148700.000000000000000,1224000.000000000000000,7341300.000000000000000
31,20338,0.000000000000000,1069200.000000000000000,696600.000000000000000,173700.000000000000000,422100.000000000000000,6120000.000000000000000,90000.000000000000000,369000.000000000000000
32,20348,0.000000000000000,2812500.000000000000000,31500.000000000000000,18900.000000000000000,90900.000000000000000,3600.000000000000000,9000.000000000000000,0.000000000000000
33,20379,49500.000000000000000,53920800.000000000000000,928800.000000000000000,1407600.000000000000000,4683600.000000000000000,2191500.000000000000000,34200.000000000000000,0.000000000000000
34,20380,0.000000000000000,14272200.000000000000000,4075200.000000000000000,2718900.000000000000000,2028600.000000000000000,1353600.000000000000000,18900.000000000000000,0.000000000000000
35,20381,0.000000000000000,0.000000000000000,1818000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
36,20384,0.000000000000000,0.000000000000000,11427300.000000000000000,0.000000000000000,0.000000000000000,475200.000000000000000,0.000000000000000,0.000000000000000
37,20416,0.000000000000000,1881000.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
38,20418,0.000000000000000,1630800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
39,20422,102600.000000000000000,78243300.000000000000000,602100.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
40,20433,0.000000000000000,24005700.000000000000000,91800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,332100.000000000000000,0.000000000000000
