"","X1","OBJECTID","DEM_MEAN","DEM_STD","slope_MEAN","slope_STD","aspect_MEAN","aspect_STD","LiveBio_MEAN","LiveBio_STD","DeadBio_MEAN","DeadBio_STD","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","COMMENTS","REPORT_AC","GIS_ACRES","C_METHOD","OBJECTIVE","FIRE_NUM","Shape_Leng","Shape_Area","stn_1","stn_2","stn_3","month_temp","week_temp","dur_temp","month_precip","week_precip","month_humid","week_humid","dur_humid","month_sol","week_sol","wind_speed","dbr_means","fireduration","pred_dbr","step_dbr","lasso_dbr"
"33",32,20504,427.024912618786,83.1162670473792,21.7150971061584,9.14965878849885,249.234118946407,70.0000988630406,301551.39231946,160008.347704972,0,0,"USF","SRF","MARBLE","00000703","2017/07/19 00:00:00.000","2017/07/29 00:00:00.000",9,NA,319,318.872985839844,8,1,NA,5795.91999259606,1290433.16977886,"Somes Bar                   ","Dutch-Indy                  ","Slate Creek                 ",76.258064516129,74.5,76.4545454545455,0,0,50.1290322580645,50.25,55,681.032258064516,685.375,2.95454545454545,187.877795207996,864000,215.560013772361,236.176775511603,259.124292426943
"34",33,20654,1022.62467432229,102.395431840439,18.8050195386701,9.47154662659446,211.973730850309,47.8889181847459,9694.04960451151,49852.720656934,0,0,"CDF","BDU","BRYANT 2","00010918","2017/08/03 00:00:00.000","2017/08/11 00:00:00.000",7,NA,NA,336.623809814453,2,1,NA,7431.06270939003,1362268.23289991,"Mill Creek (BDF)            ","Converse                    ","Beaumont                    ",79.4516129032258,79.25,78.5555555555556,0.04,0.03,44.4838709677419,49.75,45.8888888888889,577.483870967742,529.875,4.06666666666667,382.58914019884,691200,345.527524814014,359.177837203797,259.124292426943
"35",34,20492,2338.41197329325,251.664187382527,17.0772526137768,12.9309179888414,189.586901903539,140.329955821473,168357.696113253,153806.186185035,0,0,"USF","STF","DOUGLAS","00001940","2017/07/03 00:00:00.000","2017/11/16 00:00:00.000",1,"CONT_DATE from FIRESTAT Fire info Summit complex",311,310.771179199219,1,1,NA,6882.1855571195,1257646.2863106,"Double Dome                 ","Pinecrest 2                 ","Canon BAER                  ",67.6666666666667,67.6666666666667,59.9253731343284,0,0,49.6666666666667,49.6666666666667,50.0223880597015,719,719,3.42761194029851,-390.563673490119,11750400,-18.3324599526555,21.5573900857215,259.124292426943
"36",35,20477,409.506568096661,78.1793436978781,18.9612322850421,10.1098430282217,151.677139539288,109.274873799166,6641.40924070526,14126.5375929951,0,0,"CDF","FKU","DERRICK","00009289","2017/07/02 00:00:00.000","2017/07/05 00:00:00.000",14,NA,NA,1561.6630859375,1,1,NA,12680.6701234815,6319826.52801127,"Santa Rita                  ","Marquez                     ","Parkfield                   ",68.9032258064516,73.25,74,0,0,38.4838709677419,26.125,30.5,756.258064516129,807.875,7.125,337.41761978485,259200,342.450151566496,330.35747243037,259.124292426943
"37",36,20215,143.855162084472,30.1823310291972,6.02040475997638,5.86258616528161,185.429492415886,67.0198203806219,13499.862283888,49617.1110386773,0,0,"CCO","SBC","RUCKER","00012621","2017/09/29 00:00:00.000","2017/10/04 00:00:00.000",10,NA,444,429.704162597656,1,1,NA,12415.7485244427,1738951.00154101,"Vandenberg                  ","Tepusquet                   ","Refugio                     ",66.9354838709677,66.625,59.6666666666667,0.25,0,67.741935483871,45.875,69,505.870967741935,539.375,7.93333333333333,450.355718319948,432000,222.423210176305,221.739846102223,259.124292426943
"38",37,20460,120.113803715518,7.09784815569692,2.56627405145842,4.00681689118514,210.983262717464,84.5414241295045,6.67577718098958,310.190257897806,0,0,"CDF","MMU","EASTMAM","00019222","2017/09/18 00:00:00.000","2017/09/18 00:00:00.000",11,NA,483,482.3408203125,1,1,NA,8306.51436528417,1951964.0729077,"Catheys Valley              ","Metcalf Gap                 ","Mariposa                    ",82.0645161290323,74.25,71,0,0,39.5806451612903,47.75,42,519.41935483871,489.125,8.5,401.732388506248,43200,365.323324992057,362.6752274177,259.124292426943
"39",38,20461,281.932653773968,45.4637993560399,28.8727656581406,10.6538087431992,207.398136314548,83.1455087149661,13404.7454685243,36142.711565998,0,0,"LRA","LDF","SKIRBALL","00030179","2017/12/06 00:00:00.000","2017/12/07 00:00:00.000",4,"FIMT most info from LAFD website, homelss cook fire",422,371.3076171875,8,1,NA,7285.37593417433,1502628.65437821,"Beverly Hills               ","Topanga                     ","Malibu Hills                ",65.741935483871,62.625,67,0,0,43.741935483871,33.875,8,272.870967741935,268.125,10.6,284.571725290251,86400,331.670655163423,304.720651218241,259.124292426943
"40",39,20573,792.299824251592,58.731671289179,13.5169873778687,7.42013880850167,154.745275132166,75.2709861492863,1716.51095698098,16693.9402981934,0,0,"USF","CNF","WILDOMAR","00003839","2017/10/26 00:00:00.000","2017/11/08 00:00:00.000",10,"CALFIRE inc#132200 ohv crash",866,866.273010253906,1,1,NA,11147.1465123551,3505682.55254251,"El Cariso                   ","Santa Rosa Plateau          ","Case Springs                ",71.5333333333333,72.1428571428571,60.8461538461538,0.04,0.03,34.1333333333333,36.5714285714286,67.1538461538462,449.533333333333,367.857142857143,5.36153846153846,371.612431025269,1123200,342.176165824403,344.283302647719,259.124292426943
"41",40,20301,1223.14631270651,163.262771835147,19.190032855323,8.02227425065454,210.835279774835,68.3493585884129,75805.3457975809,66058.4986328866,29820.3080676623,72894.170629279,"CDF","MMU","MISSION","00018115","2017/09/03 00:00:00.000","2017/09/13 00:00:00.000",11,NA,NA,988.467468261719,1,1,NA,18687.0244235923,4000185.8776822,"North Fork                  ","Batterson                   ","Minarets                    ",80.4838709677419,86,76.9090909090909,0,0,40.0967741935484,31.5,49.5454545454545,592.645161290323,550.5,2.27272727272727,433.308567478458,864000,324.424019584535,262.93558695231,259.124292426943
"42",41,20534,1499.06460981726,61.1615629309265,9.27646255492388,6.09664441041826,147.674720530365,59.9685473145524,398.056522562207,2328.06345121551,0,0,"USF","PNF","POSLIN","00001145","2017/08/06 00:00:00.000","2017/08/12 00:00:00.000",1,NA,860,855.244384765625,6,1,NA,13192.850989087,3461051.3143583,"Doyle                       ","Clover                      ","Dog Valley                  ",77.6774193548387,80.25,71.5714285714286,0.74,0.01,30.1290322580645,32.75,48.4285714285714,660.677419354839,563.25,5.51428571428571,230.769566142994,518400,304.162568744945,317.392921120286,259.124292426943
